channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
39,,,,,,1,1067,1000,50,,255,255,255,1,sly_demo3
11,,,,,,51,1554,2,1386,,0,50,0,1,
14,,,,,,200,1615,1,1236,,0,50,0,1,
13,,,,,,200,1675,3,1236,,0,50,0,1,
14,,,,,,200,1737,1,1236,,0,50,0,1,
12,,,,,,200,1797,1,1236,,0,50,0,1,
12,,,,,,200,1800,1,1236,,0,50,0,1,
14,,,,,,200,1860,1,1236,,0,50,0,1,
13,,,,,,200,1920,3,1236,,0,50,0,1,
14,,,,,,200,1982,1,1236,,0,50,0,1,
11,,,,,,51,2042,3,1386,,0,50,0,1,
42,,,,,,,1554,491,,,4,4,,1,
41,151,231,,,,191,1558,120,40,,4,1,57,1,0.263157894736842
41,151,231,,,,191,1680,120,40,,4,2,57,1,0.263157894736842
41,151,231,,,,191,1803,120,40,,4,3,57,1,0.263157894736842
41,151,231,,,,191,1925,120,40,,4,4,57,1,0.263157894736842
31,,,,,,51,1558,482,50,,255,255,255,1,4 of 20
32,,,,,,101,1558,482,50,,255,255,255,1,4 / 4
33,,,,,,151,1558,482,50,,250,250,100,1,A
39,,,,,,1,1558,1000,50,,255,255,255,1,sly_demo3
11,,,,,,51,2045,2,1386,,0,50,0,1,
14,,,,,,200,2106,1,1236,,0,50,0,1,
13,,,,,,200,2166,3,1236,,0,50,0,1,
14,,,,,,200,2228,1,1236,,0,50,0,1,
12,,,,,,200,2288,1,1236,,0,50,0,1,
12,,,,,,200,2291,1,1236,,0,50,0,1,
14,,,,,,200,2351,1,1236,,0,50,0,1,
13,,,,,,200,2411,3,1236,,0,50,0,1,
14,,,,,,200,2473,1,1236,,0,50,0,1,
11,,,,,,51,2533,3,1386,,0,50,0,1,
42,,,,,,,2045,491,,,5,4,,1,
41,151,231,,,,191,2049,120,40,,5,1,57,1,0.263157894736842
41,151,231,,,,191,2171,120,40,,5,2,57,1,0.263157894736842
41,151,231,,,,191,2294,120,40,,5,3,57,1,0.263157894736842
41,151,231,,,,191,2416,120,40,,5,4,57,1,0.263157894736842
31,,,,,,51,2049,482,50,,255,255,255,1,5 of 20
32,,,,,,101,2049,482,50,,255,255,255,1,4 / 4
33,,,,,,151,2049,482,50,,250,250,100,1,A
39,,,,,,1,2049,1000,50,,255,255,255,1,sly_demo3
51,,,,,,331,2049,482,8,,225,225,225,1,
51,,,,,,322,2049,482,8,,200,200,200,1,
51,,,,,,313,2049,482,8,,175,175,175,1,
51,,,,,,304,2049,482,8,,150,150,150,1,
51,,,,,,295,2049,482,8,,125,125,125,1,
51,,,,,,331,2049,482,8,,225,225,225,1,
51,,,,,,322,2049,482,8,,200,200,200,1,
51,,,,,,313,2049,482,8,,175,175,175,1,
51,,,,,,304,2049,482,8,,150,150,150,1,
51,,,,,,295,2049,482,8,,125,125,125,1,
51,,,,,,331,2049,25,8,,225,225,225,1,
51,,,,,,322,2049,25,8,,200,200,200,1,
51,,,,,,313,2049,25,8,,175,175,175,1,
51,,,,,,304,2049,25,8,,150,150,150,1,
51,,,,,,295,2049,25,8,,125,125,125,1,
51,,,,,,331,2079,25,8,,225,225,225,1,
51,,,,,,322,2079,25,8,,200,200,200,1,
51,,,,,,313,2079,25,8,,175,175,175,1,
51,,,,,,304,2079,25,8,,150,150,150,1,
51,,,,,,295,2079,25,8,,125,125,125,1,
51,,,,,,331,2109,25,8,,225,225,225,1,
51,,,,,,322,2109,25,8,,200,200,200,1,
51,,,,,,313,2109,25,8,,175,175,175,1,
51,,,,,,304,2109,25,8,,150,150,150,1,
51,,,,,,295,2109,25,8,,125,125,125,1,
51,,,,,,331,2139,25,8,,225,225,225,1,
51,,,,,,322,2139,25,8,,200,200,200,1,
51,,,,,,313,2139,25,8,,175,175,175,1,
51,,,,,,304,2139,25,8,,150,150,150,1,
51,,,,,,295,2139,25,8,,125,125,125,1,
51,,,,,,331,2171,25,8,,225,225,225,1,
51,,,,,,322,2171,25,8,,200,200,200,1,
51,,,,,,313,2171,25,8,,175,175,175,1,
51,,,,,,304,2171,25,8,,150,150,150,1,
51,,,,,,295,2171,25,8,,125,125,125,1,
51,,,,,,331,2201,25,8,,225,225,225,1,
51,,,,,,322,2201,25,8,,200,200,200,1,
51,,,,,,313,2201,25,8,,175,175,175,1,
51,,,,,,304,2201,25,8,,150,150,150,1,
51,,,,,,295,2201,25,8,,125,125,125,1,
51,,,,,,331,2231,25,8,,225,225,225,1,
51,,,,,,322,2231,25,8,,200,200,200,1,
51,,,,,,313,2231,25,8,,175,175,175,1,
51,,,,,,304,2231,25,8,,150,150,150,1,
51,,,,,,295,2231,25,8,,125,125,125,1,
51,,,,,,331,2261,25,8,,225,225,225,1,
51,,,,,,322,2261,25,8,,200,200,200,1,
51,,,,,,313,2261,25,8,,175,175,175,1,
51,,,,,,304,2261,25,8,,150,150,150,1,
51,,,,,,295,2261,25,8,,125,125,125,1,
51,,,,,,331,2294,25,8,,225,225,225,1,
51,,,,,,322,2294,25,8,,200,200,200,1,
51,,,,,,313,2294,25,8,,175,175,175,1,
51,,,,,,304,2294,25,8,,150,150,150,1,
51,,,,,,295,2294,25,8,,125,125,125,1,
51,,,,,,331,2324,25,8,,225,225,225,1,
51,,,,,,322,2324,25,8,,200,200,200,1,
51,,,,,,313,2324,25,8,,175,175,175,1,
51,,,,,,304,2324,25,8,,150,150,150,1,
51,,,,,,295,2324,25,8,,125,125,125,1,
51,,,,,,331,2354,25,8,,225,225,225,1,
51,,,,,,322,2354,25,8,,200,200,200,1,
51,,,,,,313,2354,25,8,,175,175,175,1,
51,,,,,,304,2354,25,8,,150,150,150,1,
51,,,,,,295,2354,25,8,,125,125,125,1,
51,,,,,,331,2384,25,8,,225,225,225,1,
51,,,,,,322,2384,25,8,,200,200,200,1,
51,,,,,,313,2384,25,8,,175,175,175,1,
51,,,,,,304,2384,25,8,,150,150,150,1,
51,,,,,,295,2384,25,8,,125,125,125,1,
51,,,,,,331,2416,25,8,,225,225,225,1,
51,,,,,,322,2416,25,8,,200,200,200,1,
51,,,,,,313,2416,25,8,,175,175,175,1,
51,,,,,,304,2416,25,8,,150,150,150,1,
51,,,,,,295,2416,25,8,,125,125,125,1,
51,,,,,,331,2446,25,8,,225,225,225,1,
51,,,,,,322,2446,25,8,,200,200,200,1,
51,,,,,,313,2446,25,8,,175,175,175,1,
51,,,,,,304,2446,25,8,,150,150,150,1,
51,,,,,,295,2446,25,8,,125,125,125,1,
51,,,,,,331,2476,25,8,,225,225,225,1,
51,,,,,,322,2476,25,8,,200,200,200,1,
51,,,,,,313,2476,25,8,,175,175,175,1,
51,,,,,,304,2476,25,8,,150,150,150,1,
51,,,,,,295,2476,25,8,,125,125,125,1,
51,,,,,,331,2506,25,8,,225,225,225,1,
51,,,,,,322,2506,25,8,,200,200,200,1,
51,,,,,,313,2506,25,8,,175,175,175,1,
51,,,,,,304,2506,25,8,,150,150,150,1,
51,,,,,,295,2506,25,8,,125,125,125,1,
11,,,,,,51,2536,2,1386,,0,50,0,1,
14,,,,,,200,2597,1,1236,,0,50,0,1,
13,,,,,,200,2657,3,1236,,0,50,0,1,
14,,,,,,200,2719,1,1236,,0,50,0,1,
12,,,,,,200,2779,1,1236,,0,50,0,1,
12,,,,,,200,2782,1,1236,,0,50,0,1,
14,,,,,,200,2842,1,1236,,0,50,0,1,
13,,,,,,200,2902,3,1236,,0,50,0,1,
14,,,,,,200,2964,1,1236,,0,50,0,1,
11,,,,,,51,3024,3,1386,,0,50,0,1,
42,,,,,,,2536,491,,1,6,4,,1,
41,151,231,,,,191,2540,120,40,,6,1,57,1,0.263157894736842
41,151,231,,,,191,2662,120,40,,6,2,57,1,0.263157894736842
41,151,231,,,,191,2785,120,40,,6,3,57,1,0.263157894736842
41,151,231,,,,191,2907,120,40,,6,4,57,1,0.263157894736842
31,,,,,,51,2540,482,50,,255,255,255,1,6 of 20
32,,,,,,101,2540,482,50,,255,255,255,1,4 / 4
33,,,,,,151,2540,482,50,,250,250,100,1,A
39,,,,,,1,2540,1000,50,,255,255,255,1,sly_demo3
51,,,,,,331,2540,482,8,,225,225,225,1,
51,,,,,,322,2540,482,8,,200,200,200,1,
51,,,,,,313,2540,482,8,,175,175,175,1,
51,,,,,,304,2540,482,8,,150,150,150,1,
51,,,,,,295,2540,482,8,,125,125,125,1,
51,,,,,,331,2540,482,8,,225,225,225,1,
51,,,,,,322,2540,482,8,,200,200,200,1,
51,,,,,,313,2540,482,8,,175,175,175,1,
51,,,,,,304,2540,482,8,,150,150,150,1,
51,,,,,,295,2540,482,8,,125,125,125,1,
51,,,,,,331,2540,25,8,,225,225,225,1,
51,,,,,,322,2540,25,8,,200,200,200,1,
51,,,,,,313,2540,25,8,,175,175,175,1,
51,,,,,,304,2540,25,8,,150,150,150,1,
51,,,,,,295,2540,25,8,,125,125,125,1,
51,,,,,,331,2570,25,8,,225,225,225,1,
51,,,,,,322,2570,25,8,,200,200,200,1,
51,,,,,,313,2570,25,8,,175,175,175,1,
51,,,,,,304,2570,25,8,,150,150,150,1,
51,,,,,,295,2570,25,8,,125,125,125,1,
51,,,,,,331,2600,25,8,,225,225,225,1,
51,,,,,,322,2600,25,8,,200,200,200,1,
51,,,,,,313,2600,25,8,,175,175,175,1,
51,,,,,,304,2600,25,8,,150,150,150,1,
51,,,,,,295,2600,25,8,,125,125,125,1,
51,,,,,,331,2630,25,8,,225,225,225,1,
51,,,,,,322,2630,25,8,,200,200,200,1,
51,,,,,,313,2630,25,8,,175,175,175,1,
51,,,,,,304,2630,25,8,,150,150,150,1,
51,,,,,,295,2630,25,8,,125,125,125,1,
51,,,,,,331,2662,25,8,,225,225,225,1,
