channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
110,,,,,,600,25739,35,25,1,255,255,80,2,
110,,,,,,675,25779,35,25,1,45,255,45,2,
110,,,,,,725,25819,35,25,1,255,130,5,2,
110,,#,,,,575,25862,35,25,1,255,71,71,2,
110,,#,,,,575,25902,35,25,1,255,71,71,2,
110,,,,,,600,25942,35,25,1,255,255,80,2,
110,,,,,,675,25984,35,25,1,45,255,45,2,
110,,,,,,725,26024,35,25,1,255,130,5,2,
110,,,,,,775,26064,35,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
110,,,,,,625,26108,35,25,1,0,0,0,2,
110,,,,,,625,26148,35,25,1,0,0,0,2,
110,,,,,,700,26188,35,25,1,17,17,255,2,
110,,#,,,,750,26230,35,25,1,255,71,71,2,
110,,,,,,800,26270,35,25,1,0,0,0,2,
110,,,,,,875,26310,35,25,1,17,17,255,2,
1,,,,,,850,26353,115,25,1,45,255,45,2,
1,,#,0,0,0,825,26475,55,25,1,178,125,255,2,
1,,,,,,800,26535,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,775,26599,237,25,1,255,255,80,2,
1,,#,230,230,230,750,26844,115,25,1,255,71,71,2,
1,,,,,,725,26966,115,25,1,255,130,5,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,775,27090,115,25,1,255,255,80,2,
1,,#,230,230,230,750,27212,115,25,1,255,71,71,2,
1,,,,,,850,27335,115,25,1,45,255,45,2,
1,,,,,,775,27457,115,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,27581,237,25,1,0,0,0,2,
1,,#,0,0,0,825,27826,237,25,1,178,125,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,28072,330,25,1,0,0,0,2,
1,,#,230,230,230,750,28407,25,25,1,255,71,71,2,
1,,,,,,700,28439,25,25,1/1/1900,17,17,255,2,
1,,,,,,625,28469,25,25,1,0,0,0,2,
1,,#,230,230,230,575,28499,25,25,1,255,71,71,2,
1,,,,,,525,28529,25,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,500,28563,360,25,1,45,255,45,2,
1,,#,0,0,0,475,28930,115,25,1,178,125,255,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,400,29054,177,25,1,255,71,71,2,
1,,,,,,450,29236,55,25,1,0,0,0,2,
1,,,,,,525,29299,55,25,1,17,17,255,2,
1,,#,230,230,230,575,29359,55,25,1,255,71,71,2,
1,,,,,,625,29421,55,25,1,0,0,0,2,
1,,,,,,700,29481,55,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,725,29545,115,25,1,255,130,5,2,
1,,b,0,0,0,675,29667,238,25,1,45,255,45,2,
1,,#,0,0,0,825,29912,179,25,1,178,125,255,2,
0,,,,,,,80,,,,,,,1,
105,,#,,,,825,30096,15,25,1,178,125,255,2,
105,,,,,,800,30116,15,25,1,0,0,0,2,
105,,b,0,0,0,775,30136,15,25,1,255,255,80,2,
1,,,,,,800,30158,238,25,1,0,0,0,2,
1,,#,230,230,230,750,30403,115,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,700,30527,115,25,1,17,17,255,2,
1,,,,,,625,30649,115,25,1,0,0,0,2,
1,,#,230,230,230,575,30772,115,25,1,255,71,71,2,
1,,,,,,525,30894,115,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,350,31018,728,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,31754,237,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,775,32000,177,25,1,255,255,80,2,
1,,#,230,230,230,750,32182,55,25,1,255,71,71,2,
1,,#,230,230,230,750,32245,483,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,775,32736,237,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,32982,360,25,1,0,0,0,2,
110,,#,,,,825,33349,35,25,1,178,125,255,2,
110,,,,,,800,33389,35,25,1,0,0,0,2,
110,,,,,,775,33429,35,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,33473,360,25,1,0,0,0,2,
110,,#,,,,825,33840,35,25,1,178,125,255,2,
110,,,,,,800,33880,35,25,1,0,0,0,2,
110,,,,,,775,33920,35,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,800,33964,237,25,1,0,0,0,2,
1,,,,,,525,34209,237,25,1,17,17,255,2,
