channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
1,,,,,,1325,5486,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,5546,55,25,1/1/1900,255,71,71,2,,
1,,,,,,1225,5546,55,25,1,17,17,255,2,,
1,,,,,,875,5608,55,25,1/1/1900,17,17,255,2,,
1,,,,,,1150,5608,55,25,1,0,0,0,2,,
1,,,,,,800,5668,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,5668,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,5731,55,25,1,255,71,71,2,,
1,,,,,,1050,5731,55,25,1,17,17,255,2,,
1,,,,,,700,5791,55,25,1,17,17,255,2,,
1,,,,,,975,5791,55,25,1,0,0,0,2,,
1,,,,,,625,5853,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,5853,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1325,5977,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,6037,55,25,1,255,71,71,2,,
1,,,,,,1225,6037,55,25,1,17,17,255,2,,
1,,,,,,875,6099,55,25,1,17,17,255,2,,
1,,,,,,1150,6099,55,25,1,0,0,0,2,,
1,,,,,,800,6159,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,6159,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,6222,55,25,1,255,71,71,2,,
1,,,,,,1050,6222,55,25,1,17,17,255,2,,
1,,,,,,700,6282,55,25,1,17,17,255,2,,
1,,,,,,975,6282,55,25,1,0,0,0,2,,
1,,,,,,625,6344,55,25,1/1/1900,0,0,0,2,,
1,,#,230,230,230,925,6344,55,25,1/1/1900,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1300,6468,55,25,1,255,255,80,2,,
1,,,,,,950,6528,55,25,1,255,255,80,2,,
1,,,,,,1250,6528,55,25,1,255,130,5,2,,
1,,,,,,900,6590,55,25,1,255,130,5,2,,
1,,,,,,1175,6590,55,25,1,178,125,255,2,,
1,,,,,,825,6650,55,25,1,178,125,255,2,,
1,,,,,,1125,6650,55,25,1,255,255,80,2,,
1,,,,,,775,6713,55,25,1,255,255,80,2,,
1,,,,,,1075,6713,55,25,1,255,130,5,2,,
1,,,,,,725,6773,55,25,1,255,130,5,2,,
1,,,,,,1000,6773,55,25,1,178,125,255,2,,
1,,,,,,650,6835,55,25,1,178,125,255,2,,
1,,,,,,950,6835,55,25,1,255,255,80,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1375,6959,55,25,1,45,255,45,2,,
1,,#,230,230,230,925,7019,55,25,1,255,71,71,2,,
1,,,,,,1200,7019,55,25,1,45,255,45,2,,
1,,,,,,850,7081,55,25,1,45,255,45,2,,
1,,#,0,255,255,1150,7081,55,25,1,0,0,0,2,,
1,,#,0,255,255,800,7141,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,7141,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,7204,55,25,1,255,71,71,2,,
1,,,,,,1025,7204,55,25,1,45,255,45,2,,
1,,,,,,675,7264,55,25,1,45,255,45,2,,
1,,#,0,255,255,975,7264,55,25,1,0,0,0,2,,
1,,#,0,255,255,625,7326,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,7326,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1300,7450,55,25,1,255,255,80,2,,
1,,,,,,900,7510,55,25,1,255,130,5,2,,
1,,,,,,1200,7510,55,25,1,45,255,45,2,,
1,,,,,,850,7572,55,25,1,45,255,45,2,,
1,,,,,,1125,7572,55,25,1,255,255,80,2,,
1,,,,,,775,7632,55,25,1,255,255,80,2,,
1,,,,,,1075,7632,55,25,1,255,130,5,2,,
1,,,,,,725,7695,55,25,1,255,130,5,2,,
1,,,,,,1025,7695,55,25,1,45,255,45,2,,
1,,,,,,675,7755,55,25,1,45,255,45,2,,
1,,,,,,950,7755,55,25,1,255,255,80,2,,
1,,,,,,600,7817,55,25,1/1/1900,255,255,80,2,,
1,,,,,,900,7817,55,25,1,255,130,5,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1400,7941,55,25,1,17,17,255,2,,
1,,#,230,230,230,925,8001,55,25,1,255,71,71,2,,
1,,,,,,1225,8001,55,25,1,17,17,255,2,,
1,,,,,,875,8063,55,25,1,17,17,255,2,,
1,,,,,,800,8123,55,25,1,0,0,0,2,,
1,,,,,,1400,8186,55,25,1,17,17,255,2,,
1,,,,,,975,8246,55,25,1,0,0,0,2,,
1,,,,,,1225,8246,55,25,1,17,17,255,2,,
1,,,,,,900,8308,55,25,1,255,130,5,2,,
1,,,,,,850,8368,55,25,1,45,255,45,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1400,8432,55,25,1,17,17,255,2,,
1,,,,,,850,8492,55,25,1,45,255,45,2,,
1,,,,,,1225,8492,55,25,1,17,17,255,2,,
1,,,,,,900,8554,55,25,1,255,130,5,2,,
1,,,,,,1125,8554,55,25,1,255,255,80,2,,
1,,,,,,850,8614,55,25,1,45,255,45,2,,
1,,,,,,1225,8614,55,25,1,17,17,255,2,,
1,,,,,,1075,8677,55,25,1,255,130,5,2,,
1,,,,,,850,8737,55,25,1,45,255,45,2,,
1,,,,,,1125,8737,55,25,1,255,255,80,2,,
1,,,,,,775,8799,55,25,1,255,255,80,2,,
1,,,,,,1225,8799,55,25,1,17,17,255,2,,
1,,,,,,850,8859,55,25,1,45,255,45,2,,
1,,,,,,1125,8859,55,25,1,255,255,80,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1225,8923,55,25,1,17,17,255,2,,
1,,,,,,1125,8983,177,25,1,255,255,80,2,,
1,,,,,,900,8983,55,25,1,255,130,5,2,,
1,,,,,,850,9045,55,25,1,45,255,45,2,,
1,,,,,,900,9105,55,25,1,255,130,5,2,,
1,,,,,,1225,9168,55,25,1,17,17,255,2,,
1,,,,,,1125,9228,177,25,1,255,255,80,2,,
1,,,,,,900,9228,55,25,1,255,130,5,2,,
1,,,,,,775,9290,55,25,1,255,255,80,2,,
1,,,,,,850,9350,55,25,1,45,255,45,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1400,9414,55,25,1,17,17,255,2,,
1,,,,,,1225,9474,177,25,1,17,17,255,2,,
1,,,,,,900,9474,55,25,1,255,130,5,2,,
1,,,,,,950,9536,55,25,1,255,255,80,2,,
1,,,,,,850,9596,55,25,1,45,255,45,2,,
1,,,,,,1225,9659,55,25,1,17,17,255,2,,
1,,,,,,1125,9719,177,25,1,255,255,80,2,,
1,,,,,,850,9719,55,25,1,45,255,45,2,,
1,,,,,,875,9781,55,25,1,17,17,255,2,,
1,,,,,,900,9841,55,25,1,255,130,5,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1325,9905,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,9965,55,25,1,255,71,71,2,,
1,,,,,,1225,9965,55,25,1,17,17,255,2,,
1,,,,,,875,10027,55,25,1,17,17,255,2,,
1,,,,,,1150,10027,55,25,1,0,0,0,2,,
1,,,,,,800,10087,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,10087,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,10150,55,25,1,255,71,71,2,,
1,,,,,,1050,10150,55,25,1,17,17,255,2,,
1,,,,,,700,10210,55,25,1,17,17,255,2,,
1,,,,,,975,10210,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,10272,115,25,1,255,71,71,2,,
1,,,,,,625,10272,55,25,1,0,0,0,2,,
1,,,,,,700,10332,55,25,1,17,17,255,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1225,10396,55,25,1,255,255,80,2,,
1,,,,,,875,10456,55,25,1,255,255,80,2,,
1,,,,,,1175,10456,55,25,1,255,130,5,2,,
1,,,,,,825,10518,55,25,1,255,130,5,2,,
1,,,,,,1100,10518,55,25,1,178,125,255,2,,
1,,,,,,750,10578,55,25,1,178,125,255,2,,
1,,,,,,1050,10578,55,25,1,255,255,80,2,,
1,,,,,,700,10641,55,25,1,255,255,80,2,,
1,,,,,,1000,10641,55,25,1,255,130,5,2,,
1,,,,,,650,10701,55,25,1,255,130,5,2,,
1,,,,,,925,10701,55,25,1,178,125,255,2,,
1,,,,,,575,10763,55,25,1,178,125,255,2,,
1,,,,,,875,10763,55,25,1,255,255,80,2,,
0,,,,,,,80,,,,,,,1,,
1,,#,0,0,0,1275,10887,55,25,1,178,125,255,2,,
1,,,,,,875,10947,55,25,1,255,255,80,2,,
1,,,,,,1175,10947,55,25,1,255,130,5,2,,
1,,,,,,825,11009,55,25,1,255,130,5,2,,
1,,,,,,1125,11009,55,25,1,45,255,45,2,,
1,,,,,,775,11069,55,25,1,45,255,45,2,,
1,,#,0,0,0,1100,11069,55,25,1,178,125,255,2,,
1,,#,0,0,0,750,11132,55,25,1,178,125,255,2,,
1,,,,,,1050,11132,55,25,1,255,255,80,2,,
1,,,,,,700,11192,55,25,1,255,255,80,2,,
1,,,,,,1000,11192,55,25,1,255,130,5,2,,
1,,,,,,650,11254,55,25,1,255,130,5,2,,
1,,#,0,0,0,925,11254,55,25,1,178,125,255,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1250,11378,55,25,1,0,0,0,2,,
1,,,,,,900,11438,55,25,1,0,0,0,2,,
1,,,,,,1200,11438,55,25,1,255,71,71,2,,
1,,,,,,850,11500,55,25,1/1/1900,255,71,71,2,,
1,,,,,,1125,11500,55,25,1,45,255,45,2,,
1,,,,,,775,11560,55,25,1,45,255,45,2,,
1,,,,,,1075,11560,55,25,1,0,0,0,2,,
1,,,,,,725,11623,55,25,1,0,0,0,2,,
1,,,,,,1025,11623,55,25,1,255,71,71,2,,
1,,,,,,675,11683,55,25,1,255,71,71,2,,
1,,,,,,950,11683,55,25,1,45,255,45,2,,
1,,,,,,600,11745,55,25,1,45,255,45,2,,
